gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000087141.1,Plcxd2,-1.42684,0.00015,0.00129406,Down
ENSMUSG00000088185.1,Scarna2,-1.42386,0.0209,0.073407,Down
ENSMUSG00000031015.7,Swap70,1.42312,5e-05,0.000496523,Up
ENSMUSG00000056394.17,Lig1,1.42133,5e-05,0.000496523,Up
ENSMUSG00000039994.15,Timeless,1.42085,0.00205,0.0113743,Up
ENSMUSG00000094344.1,Gm11942,1.41882,0.00745,0.032338,Up
ENSMUSG00000055485.6,Soga1,1.41823,0.001,0.00630289,Up
ENSMUSG00000020884.15,Asgr1,1.41599,0.00085,0.00554016,Up
ENSMUSG00000098912.7,1500004A13Rik,-1.41598,0.00025,0.00198959,Down
ENSMUSG00000039835.15,Nhsl1,1.4157,6e-04,0.00415717,Up
ENSMUSG00000002900.15,Lamb1,1.41524,0.00665,0.0295786,Up
ENSMUSG00000030530.15,Furin,1.41443,5e-05,0.000496523,Up
ENSMUSG00000046341.5,Gm11223,-1.41366,0.03635,0.111998,Down
ENSMUSG00000028978.12,Nos3,1.41321,5e-05,0.000496523,Up
ENSMUSG00000006344.16,Ggt5,1.41227,0.0288,0.094327,Up
ENSMUSG00000053012.17,Krcc1,1.41193,5e-05,0.000496523,Up
ENSMUSG00000022799.4,Arhgap31,1.41079,0.0026,0.0137563,Up
ENSMUSG00000061175.11,Fnip2,1.40729,5e-05,0.000496523,Up
ENSMUSG00000096929.7,A330023F24Rik,-1.40512,0.01485,0.0562101,Down
ENSMUSG00000055817.17,Mta3,1.40511,0.0047,0.0224483,Up
ENSMUSG00000021185.15,9030617O03Rik,1.40355,0.00645,0.0288231,Up
ENSMUSG00000066152.11,Slc31a2,1.40341,5e-04,0.0035596,Up
ENSMUSG00000003873.10,Bax,1.40305,0.00305,0.0157417,Up
ENSMUSG00000021136.13,Smoc1,1.40296,5e-05,0.000496523,Up
ENSMUSG00000039911.13,Spsb1,1.40214,0.00055,0.00386244,Up
ENSMUSG00000030790.14,Adm,1.39768,5e-05,0.000496523,Up
ENSMUSG00000000303.12,Cdh1,1.39762,5e-05,0.000496523,Up
ENSMUSG00000024411.9,Aqp4,1.39701,5e-05,0.000496523,Up
ENSMUSG00000037242.8,Clic4,1.39461,5e-05,0.000496523,Up
ENSMUSG00000004562.16,Arhgef40,1.39413,0.00515,0.0240973,Up
ENSMUSG00000026544.6,Dusp23,1.3934,0.00545,0.0252538,Up
ENSMUSG00000000489.6,Pdgfb,1.39048,5e-05,0.000496523,Up
ENSMUSG00000052310.9,Slc39a1,1.38866,5e-05,0.000496523,Up
ENSMUSG00000027900.15,Dram2,1.3859,0.0017,0.00977736,Up
ENSMUSG00000050830.17,Vwc2,-1.38518,0.00205,0.0113743,Down
ENSMUSG00000029544.16,Cabp1,-1.38459,5e-05,0.000496523,Down
ENSMUSG00000087639.1,Gm15512,1.38435,9e-04,0.00578711,Up
ENSMUSG00000031371.14,Haus7,1.38378,0.0439,0.129265,Up
ENSMUSG00000026566.15,Mpzl1,1.38187,5e-05,0.000496523,Up
ENSMUSG00000085543.1,Gm13568,1.38111,5e-05,0.000496523,Up
ENSMUSG00000054675.5,Tmem119,1.38059,5e-05,0.000496523,Up
ENSMUSG00000025290.16,Rps24,1.37735,5e-05,0.000496523,Up
ENSMUSG00000036928.14,Stag3,1.37723,0.00455,0.0218833,Up
ENSMUSG00000031490.5,Eif4ebp1,1.3765,0.0012,0.00737635,Up
ENSMUSG00000029313.18,Aff1,1.37375,5e-05,0.000496523,Up
ENSMUSG00000074280.5,Gm6166,1.37333,5e-05,0.000496523,Up
ENSMUSG00000097924.2,A730020E08Rik,-1.37128,0.02865,0.0939348,Down
